id,name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,estimated_annual_revenue
1434811098245089642,Luxe near High Park • 5BR w/ Theater & Game Room,Unknown,High Park-Swansea,Entire home/apt,463.0,2.0,33,5.03,2,3,93155.6
1434882776606772328,"3BR - 4 beds - Free Parking, Netflix, Wifi.",Unknown,Downsview-Roding-CFB,Private room,304.0,1.0,30,3.23,1,314,39276.799999999996
1434917318437777002,Executive 2BR Condo Near YYZ | Long Stays,Unknown,West Humber-Clairville,Entire home/apt,229.0,1.0,10,1.19,1,196,10900.4
1434992695363495262,"Finch Station, Comfort Double Bed & Private Bath",Unknown,Willowdale East,Private room,99.0,1.0,5,0.55,2,30,2178.0000000000005
1435029259245089535,New! High Rise! Downtown!,Unknown,Moss Park,Entire home/apt,152.0,28.0,17,1.87,1,365,11369.600000000002
1435060663205664066,Downtown 3BR Condo | CN Tower & Lake Views!,Unknown,Waterfront Communities-The Island,Entire home/apt,781.0,1.0,27,3.09,1,349,96531.59999999999
1435077452532515464,Boutique Bachelor Near Toronto Waterfront,Unknown,Waterfront Communities-The Island,Entire home/apt,248.0,4.0,13,1.59,1,61,15772.800000000003
1435081843072059213,Entire Apartment in Toronto,Unknown,Rustic,Entire home/apt,36.0,28.0,2,0.29,7,75,417.59999999999997
1435087661547572593,Yorkville Luxury Condo | Opp Four Seasons Hotel,Unknown,Annex,Entire home/apt,146.0,2.0,7,0.89,1,219,5197.6
1435114868017870574,Elegant 2BR | CN Tower + Lake View w/ Rooftop Pool,Unknown,Waterfront Communities-The Island,Entire home/apt,356.0,1.0,41,4.36,1,83,62086.40000000001
1435190484719567526,Private Room in Toronto,Unknown,Rockcliffe-Smythe,Private room,82.0,28.0,0,0.0,1,89,0.0
1435376202958536792,Designer Loft Near St. Lawrence Market -DT Toronto,Unknown,Moss Park,Entire home/apt,185.0,28.0,9,1.03,1,365,7622.000000000001
